city,date,aqi,co,o3
Ahmedabad,15-01-2022,5,947.95,37.19
Ahmedabad,16-01-2022,5,574.11,67.95
Ahmedabad,17-01-2022,5,667.57,51.5
Ahmedabad,18-01-2022,5,1401.9,16.99
Ahmedabad,19-01-2022,5,1922.61,0.66
Ahmedabad,20-01-2022,5,6301.88,0
Ahmedabad,21-01-2022,5,1922.61,0
Ahmedabad,22-01-2022,4,460.62,50.07
Ahmedabad,23-01-2022,5,300.41,117.3
Ahmedabad,24-01-2022,5,1708.98,0.39
Ahmedabad,25-01-2022,5,1815.8,1.74
Ahmedabad,26-01-2022,5,2429.96,0.01
Ahmedabad,27-01-2022,5,1842.5,0.19
Ahmedabad,28-01-2022,4,747.68,48.64
Ahmedabad,29-01-2022,5,934.6,15.56
Ahmedabad,30-01-2022,5,2109.53,0.02
Ahmedabad,31-01-2022,5,2136.23,0
Ahmedabad,01-02-2022,5,5126.95,0
Ahmedabad,02-02-2022,5,4005.43,0
Ahmedabad,03-02-2022,5,814.44,30.76
Ahmedabad,04-02-2022,5,1081.47,28.25
Ahmedabad,05-02-2022,5,7370,0
Ahmedabad,06-02-2022,5,1121.52,77.96
Ahmedabad,07-02-2022,5,1428.6,87.26
Ahmedabad,08-02-2022,5,1976.01,0.04
Ahmedabad,09-02-2022,5,5554.2,0
Ahmedabad,10-02-2022,4,741,52.93
Ahmedabad,11-02-2022,5,1188.28,12.7
Ahmedabad,12-02-2022,5,1201.63,8.23
Ahmedabad,13-02-2022,5,881.2,25.75
Ahmedabad,14-02-2022,5,934.6,60.8
Ahmedabad,15-02-2022,5,1041.41,35.76
Ahmedabad,16-02-2022,5,1976.01,0.94
Ahmedabad,17-02-2022,5,1895.9,0.02
Ahmedabad,18-02-2022,5,761.03,57.94
Ahmedabad,19-02-2022,5,1041.41,36.48
Ahmedabad,20-02-2022,4,547.41,72.24
Ahmedabad,21-02-2022,5,754.36,60.8
Ahmedabad,22-02-2022,4,734.33,23.96
Ahmedabad,23-02-2022,5,1041.41,9.92
Ahmedabad,24-02-2022,5,1949.31,0.14
Ahmedabad,25-02-2022,5,3017.43,0
Ahmedabad,26-02-2022,5,2910.61,0.01
Ahmedabad,27-02-2022,5,1562.12,0.1
Ahmedabad,28-02-2022,5,674.25,77.25
Ahmedabad,01-03-2022,5,2429.96,0
Ahmedabad,02-03-2022,5,2349.85,0
Ahmedabad,03-03-2022,4,647.54,66.52
Ahmedabad,04-03-2022,4,587.46,79.39
Ahmedabad,05-03-2022,4,974.66,35.76
Ahmedabad,06-03-2022,5,1335.14,4.38
Ahmedabad,07-03-2022,5,1268.39,36.12
Ahmedabad,08-03-2022,5,761.03,85.12
Ahmedabad,09-03-2022,5,5767.82,0
Ahmedabad,10-03-2022,5,814.44,74.39
Ahmedabad,11-03-2022,5,1041.41,41.84
Ahmedabad,12-03-2022,5,921.25,37.55
Ahmedabad,13-03-2022,5,2216.34,0.1
Ahmedabad,14-03-2022,5,2643.59,0
Ahmedabad,15-03-2022,5,1762.39,0.13
Ahmedabad,16-03-2022,5,647.54,55.79
Ahmedabad,17-03-2022,4,814.44,24.32
Ahmedabad,18-03-2022,5,1054.76,12.52
Ahmedabad,19-03-2022,4,600.81,61.51
Ahmedabad,20-03-2022,4,794.41,48.64
Ahmedabad,21-03-2022,5,2056.12,0
Ahmedabad,22-03-2022,3,473.98,59.37
Ahmedabad,23-03-2022,3,380.52,77.25
Ahmedabad,24-03-2022,5,1789.09,0
Ahmedabad,25-03-2022,4,774.38,40.05
Ahmedabad,26-03-2022,5,2162.93,0.01
Ahmedabad,27-03-2022,5,1895.9,0
Ahmedabad,28-03-2022,5,2136.23,0
Ahmedabad,29-03-2022,4,487.33,69.38
Ahmedabad,30-03-2022,5,367.16,72.24
Ahmedabad,31-03-2022,5,1081.47,16.45
Ahmedabad,01-04-2022,5,660.9,51.5
Ahmedabad,02-04-2022,5,520.71,81.54
Ahmedabad,03-04-2022,5,480.65,45.06
Ahmedabad,04-04-2022,5,2616.88,0
Ahmedabad,05-04-2022,5,1588.82,0.49
Ahmedabad,06-04-2022,4,574.11,65.8
Ahmedabad,07-04-2022,4,774.38,39.34
Ahmedabad,08-04-2022,5,1842.5,0.01
Ahmedabad,09-04-2022,4,423.91,77.96
Ahmedabad,10-04-2022,4,814.44,20.38
Ahmedabad,11-04-2022,4,403.88,51.5
Ahmedabad,12-04-2022,5,594.14,58.65
Ahmedabad,13-04-2022,5,627.52,53.64
Ahmedabad,14-04-2022,5,587.46,58.65
Ahmedabad,15-04-2022,4,614.17,52.93
Ahmedabad,16-04-2022,5,540.73,35.05
Ahmedabad,17-04-2022,4,377.18,52.21
Ahmedabad,18-04-2022,4,380.52,56.51
Ahmedabad,19-04-2022,4,594.14,49.35
Ahmedabad,20-04-2022,5,1201.63,9.57
Ahmedabad,21-04-2022,4,487.33,87.98
Ahmedabad,22-04-2022,5,847.82,25.75
Ahmedabad,23-04-2022,5,1308.44,3.53
Ahmedabad,24-04-2022,4,647.54,33.97
Ahmedabad,25-04-2022,5,1735.69,0.11
Ahmedabad,26-04-2022,4,380.52,72.96
Ahmedabad,27-04-2022,5,1375.2,0.46
Ahmedabad,28-04-2022,4,447.27,70.1
Ahmedabad,29-04-2022,5,1214.98,0.61
Ahmedabad,30-04-2022,4,343.8,75.1
Ahmedabad,01-05-2022,4,390.53,44.7
Ahmedabad,02-05-2022,4,350.48,36.48
Ahmedabad,03-05-2022,5,554.08,46.49
Ahmedabad,04-05-2022,5,534.06,38.27
Ahmedabad,05-05-2022,5,494,32.54
Ahmedabad,06-05-2022,5,640.87,49.35
Ahmedabad,07-05-2022,5,620.84,43.63
Ahmedabad,08-05-2022,5,350.48,65.8
Ahmedabad,09-05-2022,4,367.16,70.81
Ahmedabad,10-05-2022,4,350.48,70.81
Ahmedabad,11-05-2022,4,287.06,78.68
Ahmedabad,12-05-2022,4,290.39,82.25
Ahmedabad,13-05-2022,5,343.8,48.64
Ahmedabad,14-05-2022,5,320.43,36.84
Ahmedabad,15-05-2022,5,393.87,31.47
Ahmedabad,16-05-2022,5,283.72,72.96
Ahmedabad,17-05-2022,5,433.92,49.35
Ahmedabad,18-05-2022,5,320.43,69.38
Ahmedabad,19-05-2022,5,350.48,46.49
Ahmedabad,20-05-2022,5,400.54,67.95
Ahmedabad,21-05-2022,5,460.62,47.92
Ahmedabad,22-05-2022,5,257.02,55.07
Ahmedabad,23-05-2022,5,257.02,59.37
Ahmedabad,24-05-2022,5,307.08,43.63
Ahmedabad,25-05-2022,4,347.14,33.97
Ahmedabad,26-05-2022,4,337.12,40.05
Ahmedabad,27-05-2022,4,333.79,41.48
Ahmedabad,28-05-2022,4,370.5,49.35
Ahmedabad,29-05-2022,5,253.68,49.35
Ahmedabad,30-05-2022,5,333.79,52.93
Ahmedabad,31-05-2022,4,377.18,30.76
Ahmedabad,01-06-2022,4,340.46,43.99
Ahmedabad,02-06-2022,4,333.79,45.78
Ahmedabad,03-06-2022,3,300.41,56.51
Ahmedabad,04-06-2022,5,270.37,60.08
Ahmedabad,05-06-2022,4,337.12,44.7
Ahmedabad,06-06-2022,3,347.14,46.49
Ahmedabad,07-06-2022,4,363.83,21.46
Ahmedabad,08-06-2022,1,297.07,57.94
Ahmedabad,09-06-2022,2,367.16,43.99
